"Date","Price","Open","High","Low","Vol.","Change %"
"02/25/2026","274.23","271.78","274.94","271.05","33.71M","0.77%"
"02/24/2026","272.14","267.86","274.89","267.71","47.01M","2.24%"
"02/23/2026","266.18","263.49","269.43","263.38","37.31M","0.60%"
"02/20/2026","264.58","258.97","264.75","258.16","42.07M","1.54%"
"02/19/2026","260.58","262.60","264.48","260.05","30.85M","-1.43%"
"02/18/2026","264.35","263.60","266.82","262.45","34.20M","0.18%"
"02/17/2026","263.88","258.05","266.29","255.54","58.47M","3.17%"
"02/13/2026","255.78","262.01","262.23","255.45","56.29M","-2.27%"
"02/12/2026","261.73","275.59","275.72","260.18","81.08M","-5.00%"
"02/11/2026","275.50","274.70","280.18","274.45","51.93M","0.67%"
"02/10/2026","273.68","274.89","275.37","272.94","34.38M","-0.34%"
"02/09/2026","274.62","277.90","278.20","271.70","44.62M","-1.26%"
"02/06/2026","278.12","277.12","280.90","276.92","50.45M","0.80%"
"02/05/2026","275.91","278.13","279.50","273.23","52.98M","-0.21%"
"02/04/2026","276.49","272.29","278.95","272.29","90.55M","2.60%"
"02/03/2026","269.48","269.20","271.88","267.61","64.39M","-0.20%"
"02/02/2026","270.01","260.03","270.49","259.20","73.91M","4.06%"
"01/30/2026","259.48","255.16","261.90","252.18","92.44M","0.46%"
"01/29/2026","258.28","258.00","259.65","254.41","67.25M","0.72%"
"01/28/2026","256.44","257.65","258.86","254.51","41.29M","-0.71%"
"01/27/2026","258.27","259.17","261.95","258.21","49.65M","1.12%"
"01/26/2026","255.41","251.48","256.56","249.80","55.97M","2.97%"
"01/23/2026","248.04","247.32","249.41","244.68","41.69M","-0.12%"
"01/22/2026","248.35","249.20","251.00","248.15","39.71M","0.28%"
"01/21/2026","247.65","248.70","251.56","245.18","54.64M","0.39%"
"01/20/2026","246.70","252.73","254.79","243.42","80.27M","-3.46%"
"01/16/2026","255.53","257.90","258.90","254.93","72.14M","-1.04%"
"01/15/2026","258.21","260.65","261.04","257.05","39.39M","-0.67%"
"01/14/2026","259.96","259.49","261.82","256.71","40.02M","-0.42%"
"01/13/2026","261.05","258.72","261.81","258.39","45.73M","0.31%"
"01/12/2026","260.25","259.16","261.30","256.80","45.26M","0.34%"
"01/09/2026","259.37","259.08","260.21","256.22","40.00M","0.13%"
"01/08/2026","259.04","257.02","259.29","255.70","50.42M","-0.50%"
"01/07/2026","260.33","263.20","263.68","259.81","48.31M","-0.77%"
"01/06/2026","262.36","267.00","267.55","262.12","52.35M","-1.83%"
"01/05/2026","267.26","270.64","271.51","266.14","45.65M","-1.38%"
"01/02/2026","271.01","272.26","277.84","269.00","37.84M","-0.31%"
